periodo_reporte,filas_tc1,usuarios_tc1_unicos,filas_tc2,filas_tc2_validas,filas_tc2_invalidas,filas_tc2_duplicadas,cruce_tc1_pct,consumo_reportado_kwh,consumo_valido_kwh,consumo_asignado_2025_kwh,refacturacion_kwh,suma_hc,suma_consumo_promedio_semestral_kwh,suma_valor_cartera_consumo,suma_cec_kwh,suma_valor_del_subsidio_usuario,suma_vcd,suma_refacturacion_por_consumo_usuario_kwh,suma_tarifa_aplicada_kwh,suma_vc,suma_thc,suma_valor_facturacion_por_consumo_usuario,suma_consumo_recuperado_kwh,suma_tvc,suma_conpu,suma_valor_consumo_recuperado,suma_energia_activa_exportada_kwh,suma_valor_refacturacion_por_consumo_usuario,suma_vcf,suma_valor_de_la_contribucion,suma_valor_total_facturado,promedio_hc,promedio_consumo_promedio_semestral_kwh,promedio_valor_cartera_consumo,promedio_cec_kwh,promedio_valor_del_subsidio_usuario,promedio_vcd,promedio_refacturacion_por_consumo_usuario_kwh,promedio_tarifa_aplicada_kwh,promedio_vc,promedio_thc,promedio_valor_facturacion_por_consumo_usuario,promedio_consumo_recuperado_kwh,promedio_tvc,promedio_conpu,promedio_valor_consumo_recuperado,promedio_energia_activa_exportada_kwh,promedio_valor_refacturacion_por_consumo_usuario,promedio_vcf,promedio_valor_de_la_contribucion,promedio_valor_total_facturado
2025-01,569903,569892,564705,564692,0,13,0.999993,94790010.000000,94790010.000000,41300613.703261,-768992.000000,74256.646700,67886035.000000,16004392525.000000,924875.000000,19584048123.000000,80803933.000000,-768992.000000,338952803.632100,71847101.000000,465663.847100,84453172047.000000,0.000000,30321.000000,8956832.000000,0.000000,273208.000000,-614116162.000000,0.000000,3610011999.000000,85257615843.000000,0.131499,120.217809,28341.808499,1.637840,34680.937791,143.093816,-1.361790,600.243679,127.232369,0.824633,149556.168756,0.000000,0.053695,15.861447,0.000000,0.483818,-1087.524105,0.000000,6392.886740,150980.739665
2025-02,571246,571236,352398,352395,0,3,0.999991,57754177.000000,57754177.000000,57754177.000000,-668252.000000,2202.459100,56609963.000000,10018552122.000000,706158.000000,7966204233.000000,53126868.000000,-668252.000000,235448729.469800,50330671.000000,96514.546400,51067620726.000000,0.000000,12658.000000,5193609.000000,0.000000,228465.000000,-363293335.000000,2397412.000000,2876595383.000000,56521929683.000000,0.006250,160.643491,28429.892938,2.003882,22605.894615,150.759426,-1.896315,668.138678,142.824589,0.273882,144915.849334,0.000000,0.035920,14.738033,0.000000,0.648321,-1030.926475,6.803195,8162.985806,160393.676650
2025-03,572352,572345,352590,352581,0,9,0.999991,55102441.000000,55102441.000000,55102441.000000,-304506.000000,3547.466600,59426445.000000,10672771706.000000,243511.000000,7921761577.000000,17456329.000000,-304506.000000,241364927.996400,16275106.000000,89220.812100,50402114874.000000,0.000000,12590.000000,1181223.000000,0.000000,260018.000000,-275243777.000000,0.000000,2891428132.000000,56696223931.000000,0.010061,168.546930,30270.410788,0.690653,22467.919647,49.510124,-0.863648,684.565895,46.159907,0.253051,142951.874531,0.000000,0.035708,3.350217,0.000000,0.737470,-780.654026,0.000000,8200.748571,160803.401009
2025-04,573539,573533,568197,568176,6,15,0.999995,93188521.000000,93184909.000000,93029566.437835,-683000.000000,92600.141700,66717604.000000,17658211836.000000,773824.000000,19859577236.000000,75353240.000000,-683000.000000,353307291.320900,66509296.000000,380408.372700,86958819000.000000,0.000000,9326.000000,9028460.000000,0.000000,226115.000000,-609415098.000000,184516.000000,3946716733.000000,89615171328.000000,0.162976,117.422945,31078.442886,1.361930,34952.844750,132.621660,-1.202080,621.820634,117.056324,0.669519,153047.472465,0.000000,0.016414,15.890085,0.000000,0.397962,-1072.570229,0.324748,6946.219227,157722.651066
2025-05,574735,574717,354533,354508,8,17,0.999992,57344408.000000,57295429.000000,57295429.000000,-486630.000000,3600.000000,55424199.000000,10964676161.000000,311302.000000,7249606439.000000,25729763.000000,-486630.000000,237365863.451400,21031511.000000,75128.071600,50260325282.000000,0.000000,3001.000000,5485170.000000,0.000000,190256.000000,-446634140.000000,786918.000000,2921410728.000000,57503091396.000000,0.010155,156.337652,30928.579136,0.878104,20449.306770,72.577156,-1.372660,669.549085,59.324575,0.211917,141771.669775,0.000000,0.008465,15.472278,0.000000,0.536664,-1259.841982,2.219697,8240.561013,162201.681718
2025-06,576310,576301,355215,354977,228,10,0.999992,59636137.000000,58616721.000000,58616721.000000,-358089.000000,1119.637200,55559826.000000,11430869434.000000,837119.000000,6493227464.000000,60158343.000000,-358089.000000,229869465.558900,60371740.000000,75067.350400,49360980830.000000,0.000000,3043.000000,7885939.000000,0.000000,191462.000000,-299375855.000000,8099336.000000,2928805799.000000,57874182586.000000,0.003152,156.416227,32181.048786,2.356721,18280.225402,169.362320,-1.008119,647.145917,169.963092,0.211335,138964.769161,0.000000,0.008567,22.201092,0.000000,0.539018,-842.825566,22.801864,8245.395755,162931.779074
2025-07,577852,577836,573447,573183,222,42,0.999995,91621318.000000,91367497.000000,91367497.000000,-892861.000000,101627.371100,70104800.000000,17053459710.000000,936809.000000,16076320073.000000,90534200.000000,-892861.000000,348393711.950600,78145009.000000,387569.734300,78836777964.000000,0.000000,2993.000000,12389191.000000,0.000000,179300.000000,-750898181.000000,0.000000,3520061421.000000,84118473131.000000,0.177235,122.260531,29740.688885,1.633765,28036.588577,157.888752,-1.557121,607.587503,136.282399,0.675909,137488.821974,0.000000,0.005220,21.606353,0.000000,0.312693,-1309.542437,0.000000,6138.874654,146699.929598
2025-08,578877,578859,356859,356851,0,8,0.999992,59326253.000000,59326253.000000,59326253.000000,-291245.000000,3859.435200,57815421.000000,11950843419.000000,135670.000000,6730552161.000000,11389471.000000,-291245.000000,233613572.615500,9870405.000000,58968.020200,49876773217.000000,0.000000,271.000000,2633308.000000,0.000000,220855.000000,-298701068.000000,1114242.000000,2900959537.000000,58731487522.000000,0.010815,162.015578,33489.729380,0.380187,18860.959227,31.916601,-0.816153,654.652986,27.659738,0.165245,139769.184385,0.000000,0.000759,7.379293,0.000000,0.618900,-837.047025,3.122429,8129.329992,164582.662013
2025-09,580431,580415,357737,357676,52,9,0.999992,60728397.000000,59942160.000000,59942160.000000,-861777.000000,17105.933500,58347961.000000,10768467586.000000,556677.000000,6449294929.000000,52000884.000000,-861777.000000,232372742.310400,43808166.000000,68813.249800,49957841185.000000,0.000000,271.000000,10025004.000000,0.000000,198506.000000,-669230271.000000,1832286.000000,2941342256.000000,57664235621.000000,0.047818,163.107056,30102.389486,1.556146,18028.487927,145.364310,-2.409029,649.579408,122.462223,0.192362,139653.147601,0.000000,0.000758,28.024097,0.000000,0.554908,-1870.779673,5.122009,8222.286922,161195.756611
2025-10,581815,581788,576528,576491,0,37,0.999995,90432578.000000,90432578.000000,90432578.000000,-785872.000000,61770.453500,69699488.000000,17665901273.000000,841539.000000,15860900532.000000,74340987.000000,-785872.000000,355725533.421500,62371593.000000,406735.094500,78371736997.000000,0.000000,1281.000000,12017359.000000,0.000000,216060.000000,-642808000.000000,47965.000000,3573295716.000000,84619824322.000000,0.107149,120.902994,30643.845737,1.459761,27512.832866,128.954289,-1.363199,617.053056,108.191790,0.705536,135946.158738,0.000000,0.002222,20.845701,0.000000,0.374785,-1115.035621,0.083202,6198.354729,146784.293809
